species;afr_5th_percentile
Lorius lory;1027,4
Psittacula eupatria;861
Pyrrhura molinae;412,25
Neophema chrysogaster;324,45
Trichoglossus moluccanus;536,7
Pseudeos fuscata;916
Neophema pulchella;267,6
Psittacula cyanocephala;856
Melopsittacus undulatus;266,45
Eolophus roseicapilla;734,25
Calyptorhynchus banksii;1393,4
Trichoglossus haematodus;780
Ara chloropterus;1824,6
Loriculus galgulus;413,5
Polytelis alexandrae;384,2
Agapornis canus;232,55
Amazona barbadensis;1066,8
Glossopsitta concinna;528,5
Nymphicus hollandicus;361,5
Brotogeris cyanoptera;427,6
Aratinga solstitialis;632,75
Cyanoliseus patagonus;1247
Ara militaris;1358,4
Ara macao;1555,65
Diopsittaca nobilis;764,95
Nestor notabilis;1213,5
Cyclopsitta diophthalma;390,25
Primolius maracana;1023,4
Eclectus roratus;851
Lathamus discolor;327,9
Charmosyna stellae;616,75
Guaruba guarouba;964,8
Ara rubrogenys;1672
Ara ararauna;1563,5
Platycercus eximius;316
Pyrrhura perlata;432,4
Psephotellus dissimilis;448,75
Neophema splendida;274,15
Psittacula derbiana;708,65
Poicephalus robustus;769
Trichoglossus forsteni;487,25
Ara glaucogularis;1770,4
Cyanoramphus novaezelandiae;286,6
Primolius couloni;938,1
Anodorhynchus hyacinthinus;2163,9
Amazona rhodocorytha;673,05
Trichoglossus johnstoniae;447,2
Amazona vinacea;1107,7
Cacatua alba;891,5
Psephotellus chrysopterygius;367,4
Amazona ventralis;732,25
Psittacula krameri;469,8
Pionites leucogaster;699,45
Amazona leucocephala;1052,3
Aratinga nenday;421
Pyrrhura cruentata;701,8
Cacatua leadbeateri;1062,95
Charmosyna placentis;534,15
Psittacus erithacus;1238
Vini australis;522,3
Psittacula alexandri;238
Amazona viridigenalis;896,85
Cacatua moluccensis;1734,5
Agapornis nigrigenis;311,45
Rhynchopsitta pachyrhyncha;1812,75
Barnardius zonarius;386
Agapornis fischeri;222,6
Deroptyus accipitrinus;1100,35
Agapornis lilianae;248,6
Eos bornea;656,6
Lorius garrulus;708
Ara ambiguus;1597,5
Amazona aestiva;1015,6
Cyanoramphus auriceps;302,6
Amazona ochrocephala;1406,35
Cacatua sulphurea;1777,2
Psitteuteles goldiei;452,45
Glossopsitta porphyrocephala;287
Poicephalus senegalus;1039,75
Agapornis roseicollis;297,95
Triclaria malachitacea;946,7
Trichoglossus chlorolepidotus;352,7
Myiopsitta monachus;376,75
Amazona oratrix;1095
Charmosyna papou;660,45
Amazona lilacina;1095,2
Psephotus haematonotus;305
Neopsephotus bourkii;303,5
Neophema elegans;316,65